Item Name,Quantity,Measure,Wgt (g),Cals (kcal),FatCals (kcal),SatCals (kcal),Prot (g),Carb (g),TotFib (g),TotSolFib (g),Sugar (g),MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
    lime juice,0.097222,Tablespoon,1.47,0.37,0.01,0,0.01,0.12,0.01,0,0.02,0.02,0.01,0.09,0,0,0,0,0,0,1.34,0.74,0.04,0.07,0,0.44,0,0,0,0,0,0,0,0.44,0,0,0,0.15,0.15,0.01,0,0.21,0,0,0,0,0,0.12,0,0,0.21,1.72,0,0.03,0,0,0,0,0,0.07
Total,1,Serving,47.42,167.83,13.16,2.43,3.45,34.91,1.66,0.16,0.33,0.02,0.31,32.93,1.46,0.27,0.48,0.46,0,0,7.03,23.98,1.2,2.4,0,13.98,0.25,0.04,2.97,3.7,0.22,0,0.47,0.53,0,0,0.29,10.85,10.85,1.35,0.49,4.54,0.18,0.14,0,0,0.6,53.11,1.3,0,142.21,117.53,7.8,2.47,0.97,0.01,0.44,0,0,9.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avocado Crema,1,Serving,28.37,52.5,36.11,5.68,1.41,2.83,0.6,0,0.59,0.02,0.01,1.64,4.01,0.63,2.4,0.63,0,0,15.85,50.18,2.51,5.02,0,29.24,0.01,0.01,0.13,0.13,0.01,0,0,1.01,0,0,0.14,4.16,4.16,2.28,0.07,6.69,0,0.01,0.01,0,0.57,1.63,0.01,0,3.52,27.79,0.01,35.3,0.05,0,0,0,0,0.17
    avocado,0.156667,Ounce-weight,4.44,7.4,6,0.67,0,0.44,0.3,0,0,0,0,0.15,0.67,0.07,0.44,0.07,0,0,0,0,0,0,0,0,0,0.01,0.12,0.12,0.01,0,0,0.36,0,0,0.12,3.55,3.55,0,0.06,0,0,0.01,0,0,0.05,1.18,0.01,0,2.96,22.21,0,0,0.04,0,0,0,0,0
    water,0.266667,Fluid ounce,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0.01,0,0,0.08,0,0,0,0,0,0.32,0,0,0,0,0,0
    lime juice,0.1,Tablespoon,1.51,0.38,0.01,0,0.01,0.13,0.01,0,0.03,0.02,0.01,0.1,0,0,0,0,0,0,1.37,0.76,0.04,0.08,0,0.45,0,0,0,0,0,0,0,0.45,0,0,0,0.15,0.15,0.01,0,0.21,0,0,0,0,0,0.12,0,0,0.21,1.77,0,0.03,0,0,0,0,0,0.08
    cilantro,0.025833,Ounce-weight,0.73,0.17,0.03,0,0.02,0.03,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.68,49.42,2.47,4.94,0,28.78,0,0,0.01,0.01,0,0,0,0.2,0,0,0.02,0.45,0.45,2.27,0,0.49,0,0,0,0,0.01,0.19,0,0,0.35,3.82,0.01,0.34,0,0,0,0,0,0.09
    cashews,0.275,Ounce-weight,7.8,44.55,30.07,5.01,1.39,2.23,0.28,0,0.56,0,0,1.39,3.34,0.56,1.95,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0.5,0,0,0,0,0,0,1.39,0,0,0,0,0,0
    water,0.025,Cup,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0.06,0,0,0,0,0,0.24,0,0,0,0,0,0
    sea salt,0.003,ounce-weight,0.0850485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.961,,,,,,
Total,1,Serving,28.37,52.5,36.11,5.68,1.41,2.83,0.6,0,0.59,0.02,0.01,1.64,4.01,0.63,2.4,0.63,0,0,15.85,50.18,2.51,5.02,0,29.24,0.01,0.01,0.13,0.13,0.01,0,0,1.01,0,0,0.14,4.16,4.16,2.28,0.07,6.69,0,0.01,0.01,0,0.57,1.63,0.01,0,3.52,27.79,0.01,35.3,0.05,0,0,0,0,0.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butternut Squash & Red Lentil Dal,1,Serving,443.59,264.12,33.26,17.81,15.37,44.86,11.72,0.26,5.94,2.68,0.43,26.79,3.7,1.98,0.18,0.11,0,0,288.22,6633.97,331.7,663.4,0,2179.26,0.19,0.05,0.88,1.23,0.21,0,1.67,37.15,0,0,0.79,77.53,41.07,100.01,0.5,94.44,0.08,0.11,0.13,0.6,4.25,47.01,0.7,5.72,47.99,768.18,0.88,765.3,0.31,0.03,0.08,0,0,20.36
    butternut squash,1.71667,Ounce-weight,48.67,21.9,0.44,0.09,0.49,5.69,0.97,0,1.07,0.96,0.11,3.65,0.05,0.01,0,0.02,0,0,42.05,5173.27,258.66,517.33,0,2056.65,0.05,0.01,0.58,0.7,0.07,0,0,10.22,0,0,0.7,13.14,13.14,0.54,0.19,23.36,0,0.04,0,0,0.34,16.55,0.1,2.43,16.06,171.31,0.24,1.95,0.07,0.01,0.01,0,0,0
    cauliflower,1.25,Ounce-weight,35.44,8.86,0.89,0.41,0.68,1.76,0.71,0.26,0.68,0.68,0,0.38,0.1,0.05,0.01,0.01,0,0,32.63,0,0,0,0,0,0.02,0.02,0.18,0.3,0.07,0,0.6,17.08,0,0,0.03,20.2,20.2,5.49,0.24,7.8,0,0.01,0,0,0.15,5.32,0.05,1.77,15.59,105.96,0.21,10.63,0.1,0.01,0.01,0,0,15.7
    white onion,0.066667,Pound,30.24,12.1,0.27,0.11,0.33,2.82,0.51,0,1.28,0.98,0.3,1.03,0.03,0.01,0,0.01,0,0,26.95,0.6,0.03,0.06,0,0.3,0.01,0.01,0.04,0.11,0.04,0,1.06,2.24,0,0,0.01,5.75,5.75,0.12,0.04,6.96,0,0.01,0,0.6,0.06,3.02,0.04,1.51,8.77,44.15,0.15,1.21,0.05,0,0,0,0,1.84
    garlic ,0.033333,Ounce-weight,0.94,1.41,0.04,0.01,0.06,0.31,0.02,0,0.01,0,0,0.28,0,0,0,0,0,0,0.55,0.09,0,0.01,0,0.05,0,0,0.01,0.02,0.01,0,0,0.29,0,0,0,0.03,0.03,0.02,0.01,1.71,0,0,0,0,0.02,0.24,0.02,0,1.45,3.79,0.13,0.16,0.01,0,0,0,0,0.22
    ginger root,0.016667,Pound,7.56,6.05,0.51,0.14,0.14,1.34,0.15,0,0.13,0,0,1.06,0.06,0.02,0.01,0.01,0,0,5.96,0,0,0,0,0,0,0,0.06,0.07,0.01,0,0,0.38,0,0,0.02,0.83,0.83,0.01,0.02,1.21,0,0.02,0,0,0.05,3.25,0.02,0,2.57,31.37,0.05,0.98,0.03,0,0.01,0,0,2.18
    red lentils,1.48333,Ounce-weight,42.05,152.1,8.05,0,11.63,25.05,6.26,0,0.89,0,0,17.89,0.89,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.89,0,0,0,0,2.42,0,0,0,0,384.73,0,4.47,0,0,0,0,0,0
    tomatoes,2.55,Ounce-weight,72.29,26.29,0,0,1.19,5.38,1.79,0,1.79,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,0,0,0,0,0,0
    water,0.1875,Quart,177.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0.02,0.13,0,0,1.78,0,0,0,0,0,7.1,0.02,0,0,0,0,0
    spinach,0.683333,Ounce-weight,19.37,4.56,0,0,0.46,0.68,0.46,0,0,0,0,0.23,0,0,0,0,0,0,0,1253.49,62.67,125.35,0,0,0,0,0,0,0,0,0,5.47,0,0,0,36.47,0,92.99,0,18.23,0,0,0,0,0.62,13.67,0.18,0,0,0,0,14.81,0,0,0,0,0,0
    black pepper,0.016667,Ounce-weight,0.47,1.19,0.14,0.06,0.05,0.3,0.12,0,0,0,0,0.18,0.02,0.01,0,0,0,0,0.06,2.58,0.13,0.26,0,1.46,0,0,0.01,0.01,0,0,0,0,0,0,0,0.08,0.08,0.77,0.01,2.09,0.08,0.01,0,0,0.05,0.81,0.06,0,0.75,6.28,0.02,0.09,0.01,0,0,0,0,0.05
    lemon juice,0.010417,Cup,2.54,0.56,0.05,0.01,0.01,0.18,0.01,0,0.06,0.05,0.01,0.1,0.01,0,0,0,0,0,2.35,0.15,0.01,0.02,0,0.03,0,0,0,0,0,0,0.01,0.98,0,0,0,0.51,0.51,0,0,0.15,0,0,0,0,0,0.15,0,0,0.2,2.62,0,0.03,0,0,0,0,0,0.13
    coconut oil,0.010417,Cup,2.27,20.22,20.21,16.82,0,0,0,0,0,0,0,0,2.25,1.87,0.14,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.01
    saffron powder,0.016667,Ounce-weight,0.47,1.46,0.25,0.07,0.05,0.31,0.02,0,0,0,0,0,0.03,0.01,0,0.01,0,0,0.06,2.5,0.13,0.25,0,0,0,0,0.01,0.01,0,0,0,0.38,0,0,0,0.44,0.44,0,0,0.52,0,0,0,0,0.05,1.25,0.13,0,1.19,8.15,0.03,0.7,0.01,0.01,0,0,0,0
    turmeric,0.016667,Ounce-weight,0.47,1.47,0.14,0.08,0.05,0.32,0.11,0,0.02,0,0.01,0.19,0.02,0.01,0,0,0,0,0.06,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0.02,0.09,0.09,0.06,0,0.79,0,0.01,0,0,0.26,0.98,0.09,0,1.41,9.83,0.03,0.13,0.02,0,0,0,0,0.23
    coriander,0.016667,Ounce-weight,0.47,2.1,0.8,0,0.07,0.26,0.25,0,0,0,0,0,0.09,0,0,0,0,0,0.03,0.24,0.01,0.02,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,0,0,0,0
    cumin,0.016667,Ounce-weight,0.47,2.1,0.99,0,0.09,0.19,0.17,0,0,0,0,0,0.11,0,0,0,0,0,0.05,2.13,0.11,0.21,0,1.28,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,3.92,0,0,0,0,0.16,0,0,0,0,0,0,0.94,0,0,0,0,0,0
    paprika,0.016667,Ounce-weight,0.47,1.75,0.47,0,0.07,0.26,0.17,0,0,0,0,0,0.05,0,0,0,0,0,0.05,198.92,9.95,19.89,0,119.35,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.99,0,0,0,0,0.06,0,0,0,0,0,0,0.5,0,0,0,0,0,0
    Sea Salt,0.0635,ounce-weight,1.80019325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.6745,,,,,,
Total,1,Serving,443.59,264.12,33.26,17.81,15.37,44.86,11.72,0.26,5.94,2.68,0.43,26.79,3.7,1.98,0.18,0.11,0,0,288.22,6633.97,331.7,663.4,0,2179.26,0.19,0.05,0.88,1.23,0.21,0,1.67,37.15,0,0,0.79,77.53,41.07,100.01,0.5,94.44,0.08,0.11,0.13,0.6,4.25,47.01,0.7,5.72,47.99,768.18,0.88,765.3,0.31,0.03,0.08,0,0,20.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seedy Topping,1,Serving,14.17,80.73,58.88,6.72,4.06,2.25,0.62,0.15,0.36,0.01,0.05,1.27,6.54,0.75,1.48,1.88,0,0,0.65,2.81,0.14,0.28,0,1.66,0.07,0.02,0.57,1.47,0.06,0,0,0.37,0,0,1.59,12.12,12.12,0.31,0.08,9.05,0,0.13,0,0,1.28,38.99,0.28,0,80.5,61.83,2.65,0.68,0.54,0.39,3.19,0,0,5.02
    hemp seeds,0.2,Ounce-weight,5.67,32.13,20.41,1.7,1.89,0.94,0,0,0.19,0,0,0.76,2.27,0.19,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0.33,0,0,0,0.23,0,0,0,0,0,0,0,3.78,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0.38,1.32,0,0,0
    pumpkin seeds,0.15,Ounce-weight,4.25,23.77,18.77,3.31,1.29,0.46,0.26,0.04,0.06,0.01,0.05,0.14,2.09,0.37,0.69,0.89,0,0,0.22,0.68,0.03,0.07,0,0.38,0.01,0.01,0.21,0.58,0.01,0,0,0.08,0,0,0.09,2.47,2.47,0.31,0.03,1.96,0,0.06,0,0,0.38,25.17,0.19,0,52.43,34.4,0.4,0.3,0.33,0.01,0.89,0,0,2.68
    sunflower seeds,0.15,Ounce-weight,4.25,24.83,19.69,1.71,0.88,0.85,0.37,0.12,0.11,0,0,0.37,2.19,0.19,0.79,0.98,0,0,0.2,2.13,0.11,0.21,0,1.28,0.06,0.02,0.35,0.56,0.06,0,0,0.06,0,0,1.5,9.65,9.65,0,0.05,3.32,0,0.08,0,0,0.22,13.82,0.08,0,28.07,27.43,2.25,0.38,0.21,0,0.98,0,0,2.34
Total,1,Serving,14.17,80.73,58.88,6.72,4.06,2.25,0.62,0.15,0.36,0.01,0.05,1.27,6.54,0.75,1.48,1.88,0,0,0.65,2.81,0.14,0.28,0,1.66,0.07,0.02,0.57,1.47,0.06,0,0,0.37,0,0,1.59,12.12,12.12,0.31,0.08,9.05,0,0.13,0,0,1.28,38.99,0.28,0,80.5,61.83,2.65,0.68,0.54,0.39,3.19,0,0,5.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puttanesca,1,Serving,282.04,187.17,72.6,7.09,5.2,23.41,6.2,0.55,6.54,0.67,0.73,10.68,8.34,0.79,3.82,0.68,0,0,160.21,4396.92,219.85,439.69,0,4180.53,0.06,0.05,0.35,0.81,0.12,0,0.56,24.15,0,0,1.12,41.48,41.48,17.25,0.14,39.14,0.07,0.14,0.02,0.29,1.23,23.69,0.26,1.57,41.7,250.04,1.67,766,0.45,0.07,0.6,0,0,9.31
    white onion,0.519231,Ounce-weight,14.72,5.89,0.13,0.06,0.16,1.37,0.25,0,0.62,0.48,0.15,0.5,0.01,0.01,0,0,0,0,13.12,0.29,0.01,0.03,0,0.15,0.01,0,0.02,0.05,0.02,0,0.52,1.09,0,0,0,2.8,2.8,0.06,0.02,3.39,0,0.01,0,0.29,0.03,1.47,0.02,0.74,4.27,21.49,0.07,0.59,0.03,0,0,0,0,0.9
    tomatoes,5.34615,Ounce-weight,151.56,55.11,0,0,2.51,11.27,3.76,0,3.76,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1,0,0,0,0,0,0
    kalamata olives,0.442308,Ounce-weight,12.54,30.4,23.94,0,0,1.52,0,0,0,0,0,1.52,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.79,0,0,0,0,0,0
    kalamata olive juice,0.1,fluid ounce,2.83495,2,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,
    capers,0.288462,Ounce-weight,8.18,1.88,0.63,0.17,0.19,0.4,0.26,0,0.03,0,0,0.1,0.07,0.02,0.01,0.02,0,0,6.86,11.29,0.56,1.13,0,6.79,0,0.01,0.05,0.05,0,0,0,0.35,0,0,0.07,1.88,1.88,2.01,0,3.27,0,0.03,0,0,0.14,2.7,0.01,0,0.82,3.27,0.1,192.01,0.03,0.02,0.01,0,0,0.53
    caper juice,0.1,fluid ounce,2.83495,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,,,,,
    garlic,0.096154,Ounce-weight,2.73,4.06,0.12,0.02,0.17,0.9,0.06,0,0.03,0,0,0.82,0.01,0,0,0.01,0,0,1.6,0.25,0.01,0.02,0,0.14,0.01,0,0.02,0.05,0.03,0,0,0.85,0,0,0,0.08,0.08,0.05,0.02,4.93,0,0.01,0,0,0.05,0.68,0.05,0,4.17,10.93,0.39,0.46,0.03,0,0.01,0,0,0.63
    olive oil,0.192308,Fluid ounce,5.19,45.9,45.9,6.45,0,0,0,0,0,0,0,0,5.19,0.72,3.79,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,3.13,0,0.05,0,0,0,0,0.03,0,0,0,0,0.05,0,0.1,0,0.04,0.51,0,0,0.02
    chili pepper flakes,0.019231,Ounce-weight,0.55,1.73,0.85,0.16,0.07,0.31,0.15,0,0.06,0,0,0.1,0.09,0.02,0.01,0.05,0,0,0.04,226.85,11.34,22.69,0,119.07,0,0.01,0.05,0.05,0.01,0,0,0.42,0,0,0.16,0.58,0.58,0.44,0,0.81,0,0,0,0,0.04,0.83,0.01,0,1.6,10.98,0.05,0.16,0.01,0,0.04,0,0,0.28
    parsley,0.019231,Ounce-weight,0.55,0.2,0.04,0.01,0.02,0.03,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0.48,45.93,2.3,4.59,0,27.55,0,0,0.01,0.01,0,0,0,0.73,0,0,0,0.83,0.83,8.94,0,0.75,0,0,0,0,0.03,0.27,0,0,0.32,3.02,0,0.31,0.01,0,0,0,0,0.07
    white beans,0.288462,Ounce-weight,8.18,27.23,0.63,0.16,1.91,4.93,1.24,0.36,0.17,0,0,3.51,0.07,0.02,0.01,0.03,0,0,0.93,0,0,0,0,0,0.04,0.01,0.04,0.42,0.03,0,0,0,0,0,0.02,31.73,31.73,0.46,0.06,19.63,0,0.08,0,0,0.85,15.54,0.15,0,24.62,146.79,1.05,1.31,0.3,0.01,0.02,0,0,5.41
    seaweed,0.065385,Tablespoon,0.33,0.11,0.01,0,0.02,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0.28,17.01,0.85,1.7,0,10.2,0,0,0,0.01,0,0,0,0.13,0,0,0,0.48,0.48,0.01,0,0.23,0,0,0,0,0.01,0.01,0,0.02,0.19,1.16,0,0.16,0,0,0,0,0,0.03
    red bell pepper,1.15385,Ounce-weight,32.71,5.45,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,99.72,1362.96,68.15,136.3,0,2661.58,0,0,0,0,0,0,0,19.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.94,0,0,0,0,0,0
    carrots,0.576923,Ounce-weight,16.36,6.71,0.35,0.05,0.15,1.57,0.46,0.19,0.78,0.19,0.59,0.33,0.04,0.01,0,0.02,0,0,14.44,2732.35,136.62,273.23,0,1355.05,0.01,0.01,0.16,0.18,0.02,0,0.05,0.96,0,0,0.11,3.11,3.11,2.16,0.04,5.4,0.07,0.01,0,0,0.05,1.96,0.02,0.82,5.72,52.34,0.02,11.29,0.04,0,0.02,0,0,1.44
    water,0.769231,Fluid ounce,22.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0.02,0,0,0.23,0,0,0,0,0,0.91,0,0,0,0,0,0
    sea salt,0.012,ounce-weight,0.340194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.844,,,,,,
Total,1,Serving,282.04,187.17,72.6,7.09,5.2,23.41,6.2,0.55,6.54,0.67,0.73,10.68,8.34,0.79,3.82,0.68,0,0,160.21,4396.92,219.85,439.69,0,4180.53,0.06,0.05,0.35,0.81,0.12,0,0.56,24.15,0,0,1.12,41.48,41.48,17.25,0.14,39.14,0.07,0.14,0.02,0.29,1.23,23.69,0.26,1.57,41.7,250.04,1.67,766,0.45,0.07,0.6,0,0,9.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Lentil Penne Pasta,1,Serving,85.05,320.4,10.8,0,21.6,52.8,10.8,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0
    Green Lentil Penne,3,Ounce-weight,85.05,320.4,10.8,0,21.6,52.8,10.8,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,1,Serving,85.05,320.4,10.8,0,21.6,52.8,10.8,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Tomatillo Chili,1,Serving,481.8,421.66,65.81,8.78,22.72,68.34,19.19,3.43,11.89,1.92,0.41,37.2,7.39,0.98,3.36,1.22,0,0,167.72,3626.99,181.35,362.7,0,427.64,0.42,0.2,2.31,6.12,0.48,0,1.21,61.66,0,0,1.81,401.27,331.45,211.55,0.89,283.32,0.15,0.9,0,0.69,11.54,208.76,2.2,9.41,303.14,1854.79,10.98,765.2,3.31,0.21,1.01,0,0,65.74
    white beans,2.74167,Ounce-weight,77.72,258.82,5.95,1.53,18.16,46.84,11.81,3.4,1.64,0,0,33.39,0.66,0.17,0.06,0.28,0,0,8.8,0,0,0,0,0,0.34,0.11,0.37,3.96,0.25,0,0,0,0,0,0.16,301.57,301.57,4.35,0.57,186.54,0,0.76,0,0,8.11,147.68,1.4,0,233.95,1395.16,9.95,12.44,2.85,0.13,0.15,0,0,51.45
    garlic,0.183333,Ounce-weight,5.2,15.59,4.68,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    white onion,1.21667,Ounce-weight,34.49,13.8,0.31,0.13,0.38,3.22,0.59,0,1.46,1.12,0.34,1.17,0.03,0.01,0,0.01,0,0,30.74,0.69,0.03,0.07,0,0.34,0.02,0.01,0.04,0.12,0.04,0,1.21,2.55,0,0,0.01,6.55,6.55,0.14,0.04,7.93,0,0.01,0,0.69,0.07,3.45,0.04,1.72,10,50.36,0.17,1.38,0.06,0,0,0,0,2.1
    poblano peppers,1.89167,Ounce-weight,53.63,14.9,2.68,0,0.6,2.98,1.19,0,1.79,0,0,0,0.3,0,0,0,0,0,0,446.9,22.34,44.69,0,0,0,0,0,0,0,0,0,25.03,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0
    zucchini,0.825,Ounce-weight,23.39,3.98,0.67,0.18,0.28,0.73,0.21,0.02,0.52,0.51,0.01,0,0.07,0.02,0,0.02,0,0,22.17,46.78,2.34,4.68,0,28.07,0.01,0.02,0.11,0.14,0.04,0,0,4.19,0,0,0.03,5.61,5.61,1.01,0.05,3.74,0,0.01,0,0,0.09,4.21,0.04,2.81,8.89,61.04,0.05,1.87,0.07,0.01,0.01,0,0,2.22
    cumin,0.033333,Ounce-weight,0.94,4.21,1.97,0,0.18,0.38,0.34,0,0,0,0,0,0.22,0,0,0,0,0,0.09,4.25,0.21,0.43,0,2.55,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,7.84,0,0,0,0,0.32,0,0,0,0,0,0,1.87,0,0,0,0,0,0
    coriander,0.033333,Ounce-weight,0.94,4.21,1.6,0,0.13,0.52,0.5,0,0,0,0,0,0.18,0,0,0,0,0,0.06,0.47,0.02,0.05,0,0.28,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,6.9,0,0,0,0,0.05,0,0,0,0,0,0,0.23,0,0,0,0,0,0
    lime juice,0.316667,Fluid ounce,9.58,2.39,0.06,0.01,0.04,0.81,0.04,0,0.16,0.12,0.05,0.61,0.01,0,0,0,0,0,8.7,4.79,0.24,0.48,0,2.87,0,0,0.01,0.02,0,0,0,2.87,0,0,0.02,0.96,0.96,0.06,0.01,1.34,0,0,0,0,0.01,0.77,0,0,1.34,11.21,0.01,0.19,0.01,0,0,0,0,0.49
    spinach,1.30833,Ounce-weight,37.09,8.73,0,0,0.87,1.31,0.87,0,0,0,0,0.44,0,0,0,0,0,0,0,2399.98,120,240,0,0,0,0,0,0,0,0,0,10.47,0,0,0,69.82,0,178.04,0,34.91,0,0,0,0,1.18,26.18,0.35,0,0,0,0,28.36,0,0,0,0,0,0
    cayenne chili pepper,0.033333,Ounce-weight,0.94,3.01,1.47,0.28,0.11,0.54,0.26,0,0.1,0,0,0.18,0.16,0.03,0.03,0.08,0,0,0.08,393.21,19.66,39.32,0,206.38,0,0.01,0.08,0.08,0.02,0,0,0.72,0,0,0.28,1,1,0.76,0,1.4,0,0,0,0,0.07,1.44,0.02,0,2.77,19.03,0.08,0.28,0.02,0.01,0.07,0,0,0.49
    oregano,0.033333,Ounce-weight,0.94,2.5,0.36,0.13,0.09,0.65,0.4,0,0.04,0.03,0.01,0.21,0.04,0.01,0.01,0.01,0,0,0.09,16.07,0.8,1.61,0,9.52,0,0,0.04,0.07,0.01,0,0,0.02,0,0,0.17,2.24,2.24,5.87,0.01,15.09,0,0.01,0,0,0.35,2.55,0.05,0,1.4,11.91,0.04,0.24,0.03,0.01,0.01,0,0,0.31
    cilantro,0.091667,Ounce-weight,2.6,0.6,0.12,0,0.06,0.1,0.07,0,0.02,0,0,0,0.01,0,0.01,0,0,0,2.4,175.36,8.77,17.54,0,102.13,0,0,0.03,0.03,0,0,0,0.7,0,0,0.06,1.61,1.61,8.06,0.01,1.74,0,0.01,0,0,0.05,0.68,0.01,0,1.25,13.54,0.02,1.2,0.01,0,0,0,0,0.33
    Organic vegetable stock,0.033333,Gallon,126.18,10.67,0,0,0.53,2.13,0.53,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    tomatillos,2.925,Ounce-weight,82.92,26.54,7.61,1.04,0.8,4.84,1.58,0,3.26,0,0,0.01,0.85,0.12,0.13,0.35,0,0,75.98,94.53,4.73,9.45,0,52.24,0.04,0.03,1.53,1.53,0.05,0,0,9.7,0,0,0.32,5.8,5.8,8.38,0.12,5.8,0,0.07,0,0,0.51,16.58,0.13,4.15,32.34,222.23,0.41,0.83,0.18,0.01,0.33,0,0,6.3
